fips,population,median_income,business_count
54081,74303,47975,1653
54083,28005,51186,649
54085,8507,48973,188
54087,14027,41299,223
54089,11985,42991,156
54091,16602,52946,210
54093,6747,54053,157
54095,8336,59167,120
54097,23875,49663,511
54099,38933,52694,462
54101,8362,43409,112
54103,14431,50715,319
54105,5202,52776,53
54107,84272,54350,1894
54109,21237,44510,273
55001,20730,55223,334
55003,16041,57000,476
55005,46683,59379,1352
55007,16214,67266,446
55009,268393,74066,6578
55011,13329,64238,292
55013,16561,60466,400
55015,52361,84151,896
55017,66254,69815,1631
55019,34703,63187,751
55021,58272,79271,1420
55023,16123,60823,379
55025,559891,84297,14402
55027,89032,71747,1690
55029,30038,68257,1291
55031,44092,64682,1016
55033,45221,69721,905
55035,105697,70127,2662
55037,4574,58049,102
55039,104027,70368,2263
55041,9239,55552,223
55043,51842,63497,1171
55045,37066,76080,993
55047,19093,66395,454
55049,23766,79226,555
55051,6136,55777,179
55053,20958,64630,393
55055,85932,77018,2006
55057,26695,63455,531
55059,168693,76583,3312
55061,20570,77610,453
55063,120216,68731,3101
55065,16716,69293,340
55067,19512,55091,544
55069,28402,64314,674
55071,81242,66412,1718
55073,137820,73248,3375
55075,41827,60347,1045
55077,15619,59748,268
55078,4279,62194,22
55079,933063,59319,20215
55081,46208,66451,963
55083,39048,73611,782
55085,37799,66111,1371
55087,190611,78705,5161
55089,91745,92258,2802
55091,7363,70833,216
55093,42187,82996,787
55095,45128,74142,1149
55097,70281,71301,1682
55099,14066,55822,370
55101,197068,72658,4057
55103,17256,61985,369
55105,163817,70630,3389
55107,14179,57473,315
55109,93752,97950,2351
55111,65664,72930,1819
55113,18057,57519,634
55115,40848,65493,888
55117,117741,68969,2668
55119,19979,61360,473
55121,30679,68474,669
55123,30811,65177,634
55125,23146,63726,978
55127,105127,75172,2777
55129,16685,58504,516
55131,136842,91915,3329
55133,407290,101639,12711
55135,51822,69198,1171
55137,24672,61033,456
55139,171197,70041,3669
55141,74138,63273,1741
56001,37525,55887,1055
56003,11690,61262,309
56005,46857,93315,1464
56007,14609,65196,507
56009,13729,79235,433
56011,7258,68876,264
56013,39402,60030,1244
56015,12592,62356,328
56017,4616,64031,177
56019,8536,60667,526
56021,100316,76282,3471
56023,19794,83033,886
56025,79506,69104,2930
56027,2460,54375,72
56029,29878,66754,1286
56031,8618,64753,270
56033,31176,68898,1941
56035,8801,85960,439
56037,42079,79375,1175
56039,23346,108279,2345
56041,20546,78164,570
56043,7725,61875,321
56045,6870,71800,205
72001,17972,17659,147
72003,37998,20301,548
72005,54752,18348,914
72007,24136,23160,143
72009,24555,22511,289
72011,25497,22673,265
72013,87217,21799,1068
72015,15797,18496,88
72017,22604,20282,298
72019,28899,21262,280
72021,184326,29403,3043
72023,46983,23077,569
72025,126772,29279,2444
72027,32733,23263,333
72029,42218,26021,369
72031,154126,32888,1981
72033,23060,22407,325
72035,41509,26704,504
72037,11256,22945,81
72039,16924,19618,113
72041,39831,25580,380
72043,34557,20569,274
72045,18817,16153,120
72047,34459,21670,322
72049,1186,25483,47
72051,35786,31485,675
72053,31984,24309,495
72054,11641,21560,54
72055,13682,14525,89
72057,36365,19165,458
72059,17670,21312,108
72061,89554,43304,2267
72063,40517,39533,380
72065,38330,24407,516
72067,15571,22542,180
72069,50729,25940,778
72071,42817,19965,481
72073,14726,18363,106
72075,46333,23035,310
72077,36928,25931,263
72079,23202,17131,178
